Qty (1 board),Qty (10 boards),References,Value,Voltage,Tolerance,Footprint,Manufacturer part number,LCSC,Notes
1,10,R33,33,,,Resistor_SMD:R_1206_3216Metric,,C17634,"Series limit. ISO 9141-2 wants the tester's dominant below 0.2*Vb: against the ECU's 510 ohm alone that is 12*33/543 = 0.73 V, and with the optional pull-up below also stuffed it is 1.38 V, both inside 2.4 V. Sized down from 100 ohm for exactly that second case. A sustained short of K-line to battery while transmitting puts 364 mA through the FET, over its 115 mA continuous rating -- it survives the pulse, not the fault. 1206 for the same reason"
1,10,R34,22k,,,Resistor_SMD:R_0805_2012Metric,,,"RX divider, upper leg"
1,10,R36,510,,,Resistor_SMD:R_1206_3216Metric,,,The ISO 9141-2 tester pull-up value. 1206: 12 V across it while the line is dominant is 280 mW
5,50,R37 R42 R47 R52 R57,1k,,0.1%,Resistor_SMD:R_0805_2012Metric,,C864177,"Ch1 series/fault-current limit; 0.1% thin film -- it is inside the divider chain, so its tolerance is a gain error"
4,40,R38 R43 R48 R53,2.49k,,,Resistor_SMD:R_0805_2012Metric,,C2930178,Ch1 bias resistor
5,50,R39 R44 R49 R54 R58,10k,,0.1%,Resistor_SMD:R_0805_2012Metric,,C856630,"Ch1 divider upper leg, 0.1% thin film for AFR-grade accuracy"
1,10,R4,28.7k,,1%,Resistor_SMD:R_0805_2012Metric,,,"Power-fail divider, upper leg"
5,50,R40 R45 R50 R55 R59,15k,,0.1%,Resistor_SMD:R_0805_2012Metric,,C728642,0-5V range: 5.0V in -> ~2.88V at the ADC (1k series included); exact scale is a firmware calibration constant
4,40,R41 R46 R51 R56,2.21k,,0.1%,Resistor_SMD:R_0805_2012Metric,,C865368,0-16V range: 16.0V in -> ~2.67V at the ADC (1k series included)
1,10,R5,12.0k,,1%,Resistor_SMD:R_0805_2012Metric,,,"Lower leg: trips at 1.24V * 40.7/12.0 = 4.20V. The rail sits at 4.5-4.7V loaded (USB 5 V less the dev board's Schottky and the cable drop), and the LDO above holds 3.3 V down to about 3.6 V in, so 4.20 is inside the margin at both ends"
9,90,R22 R23 R24 R25 R26 R28 R31 R35 R6,10k,,,Resistor_SMD:R_0805_2012Metric,,C17414,"Cathode pull-up. 10k gives the part 330uA, over the TLV431's 100uA minimum cathode current"
1,10,R63,8.2k,,,Resistor_SMD:R_0805_2012Metric,,C17828,"Divide by 13.2, not 11: at 36V the 11:1 divider put 3.27V on the pin, above the ADC's usable 3.1V, so the reading saturated near the top of the declared input window"
1,10,R7,1M,,,Resistor_SMD:R_0805_2012Metric,,C17514,"Hysteresis, about 0.1 V at the rail. A USB rail is noisier than a battery and the trip point is only 300 mV below the working level, so this matters more here than it did on the parent"
2,20,R14 R8,1k,,,Resistor_SMD:R_0805_2012Metric,,C17513,
2,20,R10 R9,4.7k,,,Resistor_SMD:R_0805_2012Metric,,C17673,
1,10,U1,TLV431A,,,Package_TO_SOT_SMD:SOT-23,TLV431ASN1T1G,C127592,"Power-fail comparator. Below the trip point it stops conducting and R_pu takes PWR_FAIL high, so the interrupt is a rising edge and an absent or dead part reads as 'failing' rather than as 'fine'. PINOUT: this uses KiCad's TL431DBZ numbering (1 K, 2 REF, 3 A) on a plain SOT-23. Shunt references are NOT consistent between vendors in this package -- CONFIRM against the datasheet for the exact part ordered. If REF and A are swapped the part simply never conducts and PWR_FAIL sits permanently asserted: loud, harmless, and obvious on the bench, but it will not be caught by ERC or DRC"
1,10,U2,74AHCT1G125,,,Package_TO_SOT_SMD:SOT-23-5,SN74AHCT1G125DBVR,C7484,"5 V buffer so WS2812 DIN is a real 5 V rail, not 3.3 V hoping"
2,20,U3 U4,SRV05-4,,,Package_TO_SOT_SMD:SOT-23-6,Semtech SRV05-4.TCT,C13612,"Card-slot ESD clamp, CLK/CMD/D0/D1"
1,10,U5,TJA1051T/3,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"TJA1051T/3,118",C58988,"5V bus drive with a 3.3V VIO pin, so no level shifting to the ESP32"
1,10,U6,ADS1115 (0x48),,,Package_SO:VSSOP-10_3x3mm_P0.5mm,ADS1115IDGSR,C37593,"Channels 1-3. ADDR to GND = 0x48. Read AIN0-AIN3, AIN1-AIN3 and AIN2-AIN3: every one of them is a channel minus the shared sensor-ground reference"
1,10,U7,ADS1115 (0x49),,,Package_SO:VSSOP-10_3x3mm_P0.5mm,ADS1115IDGSR,C37593,"Channel 4, plus two spare differential inputs on the pads below. ADDR to +3V3 = 0x49"
